slug,filters,blocks,description,simd_aligned,params,fp32_acc_pct,fp32_size_kb,ptq_acc_pct,ptq_size_kb,qat_acc_pct,qat_size_kb,int8_acc_pct,int8_size_kb,quant,train_date_utc,updated_utc,_source
f16_b2,16,2,patch f16 b2,True,1964,83.31728454501686,80.7431640625,83.2691381800674,8.140625,,,,,,2026-05-18T19:35:49+00:00,2026-05-18T19:36:01.447457+00:00,p2
f16_b3,16,3,patch f16 b3,True,2492,86.63938372652865,104.115234375,85.94126143476167,10.3828125,,,,,,2026-05-18T19:35:17+00:00,2026-05-18T19:35:29.743435+00:00,p4
f16_b4,16,4,ultra-tiny depth=4,True,3020,88.49301877708233,126.8076171875,87.98748194511315,12.625,88.4689455946076,13.2734375,,,,2026-05-17T09:32:52+00:00,2026-05-17T09:35:47.523635+00:00,"orig,p4"
f16_b5,16,5,patch f16 b5,True,3548,88.87818969667791,149.1796875,88.05970149253731,14.8671875,,,,,,2026-05-18T19:36:16+00:00,2026-05-18T19:36:32.135600+00:00,p1
f16_b6,16,6,ultra-tiny depth=6,True,4076,87.69860375541647,172.2392578125,87.62638420799229,17.109375,87.96340876263842,18.1328125,,,,2026-05-17T09:39:28+00:00,2026-05-17T09:42:48.155073+00:00,"orig,p4"
f16_b7,16,7,patch f16 b7,True,4604,89.86519017814155,195.572265625,89.33558016369764,19.3515625,,,,,,2026-05-18T19:39:43+00:00,2026-05-18T19:39:58.912744+00:00,p2
f16_b8,16,8,patch f16 b8,True,5132,89.64853153586904,218.2646484375,89.86519017814155,21.59375,,,,,,2026-05-18T19:41:04+00:00,2026-05-18T19:41:22.198721+00:00,p1
f24_b2,24,2,patch f24 b2,True,3324,88.2522869523351,86.0556640625,88.18006740491093,10.40625,,,,,,2026-05-18T19:35:53+00:00,2026-05-18T19:36:06.197420+00:00,p3
f24_b3,24,3,patch f24 b3,True,4308,90.58738565238323,111.208984375,90.29850746268656,13.46875,,,,,,2026-05-18T19:39:51+00:00,2026-05-18T19:40:04.994349+00:00,p4
f24_b4,24,4,patch f24 b4,True,5292,91.21328839672604,135.6826171875,91.09292248435244,16.53125,,,,,,2026-05-18T19:40:10+00:00,2026-05-18T19:40:25.447428+00:00,p3
f24_b5,24,5,ultra-xs depth=5,True,6276,91.5743861338469,159.8359375,91.7910447761194,19.59375,91.83919114106884,20.4296875,,,,2026-05-17T09:46:19+00:00,2026-05-17T09:49:39.151185+00:00,"orig,p4"
f24_b6,24,6,patch f24 b6,True,7260,92.34472797303803,184.6767578125,91.8873375060183,22.65625,,,,,,2026-05-18T19:45:35+00:00,2026-05-18T19:45:51.922704+00:00,p1
f24_b7,24,7,patch f24 b7,True,8244,92.24843524313914,209.791015625,91.9836302359172,25.71875,,,,,,2026-05-18T19:43:56+00:00,2026-05-18T19:44:12.664241+00:00,p4
f24_b8,24,8,patch f24 b8,True,9228,91.95955705344248,234.2646484375,91.91141068849302,28.78125,,,,,,2026-05-18T19:44:02+00:00,2026-05-18T19:44:21.161068+00:00,p2
f32_b2,32,2,patch f32 b2,True,4940,90.12999518536353,92.3681640625,89.96148290804045,12.921875,,,,,,2026-05-18T19:43:57+00:00,2026-05-18T19:44:10.348891+00:00,p3
f32_b3,32,3,patch f32 b3,True,6508,91.3818006740491,119.802734375,91.35772749157438,16.9296875,,,,,,2026-05-18T19:47:47+00:00,2026-05-18T19:48:00.635706+00:00,p4
f32_b4,32,4,tiny depth=4,True,8076,92.82619162253248,146.5576171875,92.58545979778526,20.9375,92.24843524313914,21.5859375,,,,2026-05-17T09:07:24+00:00,2026-05-17T09:10:40.228696+00:00,"orig,p3"
f32_b5,32,5,tiny depth=5,True,9644,92.89841116995666,172.9921875,92.5132402503611,24.9453125,92.65767934520944,25.78125,,,,2026-05-17T09:14:27+00:00,2026-05-17T09:17:47.570909+00:00,"orig,p3"
f32_b6,32,6,tiny depth=6,True,11212,93.33172845450169,200.1142578125,93.42802118440058,28.953125,93.25950890707752,29.9765625,,,,2026-05-17T09:21:39+00:00,2026-05-17T09:25:17.137690+00:00,"orig,p3"
f32_b7,32,7,patch f32 b7,True,12780,93.042850264805,227.509765625,92.87433798748197,32.9609375,,,,,,2026-05-18T19:48:25+00:00,2026-05-18T19:48:41.757806+00:00,p2
f32_b8,32,8,patch f32 b8,True,14348,93.25950890707752,254.2646484375,93.28358208955224,36.96875,,,,,,2026-05-18T19:51:55+00:00,2026-05-18T19:52:12.495865+00:00,p4
f40_b2,40,2,patch f40 b2,True,6812,91.62253249879632,99.6806640625,91.45402022147329,15.6875,,,,,,2026-05-18T19:52:00+00:00,2026-05-18T19:52:13.778027+00:00,p2
f40_b3,40,3,patch f40 b3,True,9092,92.70582571015888,129.896484375,92.34472797303803,20.765625,,,,,,2026-05-18T19:49:40+00:00,2026-05-18T19:49:55.277238+00:00,p1
f40_b4,40,4,xxs depth=4,True,11372,92.80211844005778,159.4326171875,92.82619162253248,25.84375,93.11506981222918,26.4921875,,,,2026-05-17T10:14:58+00:00,2026-05-17T10:20:59.039889+00:00,"orig,p1"
f40_b5,40,5,xxs depth=5,True,13652,93.2354357246028,188.6484375,93.09099662975446,30.921875,93.28358208955224,31.7578125,,,,2026-05-17T10:25:28+00:00,2026-05-17T10:29:28.195289+00:00,"orig,p1"
f40_b6,40,6,xxs depth=6,True,15932,93.74097255657198,218.5517578125,93.6687530091478,36.0,93.33172845450169,37.0234375,,,,2026-05-17T10:34:08+00:00,2026-05-17T10:38:23.838594+00:00,"orig,p1"
f40_b7,40,7,patch f40 b7,True,18212,93.90948483389504,248.728515625,93.6687530091478,41.078125,,,,,,2026-05-18T19:54:34+00:00,2026-05-18T19:54:52.990562+00:00,p1
f40_b8,40,8,patch f40 b8,True,20492,93.81319210399614,278.2646484375,93.6687530091478,46.15625,,,,,,2026-05-18T19:56:14+00:00,2026-05-18T19:56:32.429221+00:00,p2
f48_b2,48,2,patch f48 b2,True,8940,91.95955705344248,107.9931640625,91.59845931632162,18.703125,,,,,,2026-05-18T19:47:43+00:00,2026-05-18T19:47:57.149460+00:00,p3
f48_b3,48,3,patch f48 b3,True,12060,93.21136254212809,141.490234375,93.06692344727972,24.9765625,,,,,,2026-05-18T19:51:30+00:00,2026-05-18T19:51:45.164134+00:00,p3
f48_b4,48,4,xs depth=4,True,15180,94.00577756379394,174.3076171875,93.81319210399614,31.25,93.88541165142033,31.8984375,,,,2026-05-17T09:28:54+00:00,2026-05-17T09:32:07.627582+00:00,"orig,p3"
f48_b5,48,5,xs depth=5,True,18300,94.2705825710159,206.8046875,94.02985074626866,37.5234375,93.78911892152144,38.359375,,,,2026-05-17T09:35:58+00:00,2026-05-17T09:39:31.104157+00:00,"orig,p3"
f48_b6,48,6,xs depth=6,True,21420,93.7650457390467,239.9892578125,93.8613384689456,43.796875,93.83726528647088,44.8203125,,,,2026-05-17T09:43:21+00:00,2026-05-17T09:47:15.408056+00:00,"orig,p3"
f48_b7,48,7,patch f48 b7,True,24540,94.41502166586424,273.447265625,94.02985074626866,50.0703125,,,,,,2026-05-18T19:56:03+00:00,2026-05-18T19:56:20.243346+00:00,p4
f48_b8,48,8,patch f48 b8,True,27660,94.2946557534906,306.2646484375,94.00577756379394,56.34375,,,,,,2026-05-18T19:55:26+00:00,2026-05-18T19:55:47.302012+00:00,p3
f56_b2,56,2,patch f56 b2,True,11324,92.5132402503611,117.3056640625,92.2965816080886,21.96875,,,,,,2026-05-18T19:59:38+00:00,2026-05-18T19:59:51.598374+00:00,p4
f56_b3,56,3,patch f56 b3,True,15412,93.21136254212809,154.583984375,93.25950890707752,29.5625,,,,,,2026-05-18T19:59:56+00:00,2026-05-18T20:00:10.999331+00:00,p2
f56_b4,56,4,ss depth=4,True,19500,94.10207029369283,191.1826171875,93.9817043813192,37.15625,93.9817043813192,37.8046875,,,,2026-05-17T10:43:00+00:00,2026-05-17T10:46:51.950858+00:00,"orig,p1"
f56_b5,56,5,ss depth=5,True,23588,93.7650457390467,227.4609375,93.69282619162252,44.75,94.19836302359172,45.5859375,,,,2026-05-17T10:51:41+00:00,2026-05-17T10:55:48.593218+00:00,"orig,p1"
f56_b6,56,6,ss depth=6,True,27676,94.02985074626866,264.4267578125,93.8613384689456,52.34375,94.36687530091476,53.3671875,,,,2026-05-17T11:00:27+00:00,2026-05-17T11:04:59.862320+00:00,"orig,p1"
f56_b7,56,7,patch f56 b7,True,31764,94.63168030813674,301.666015625,94.24650938854116,59.9375,,,,,,2026-05-18T20:04:00+00:00,2026-05-18T20:04:18.362191+00:00,p2
f56_b8,56,8,patch f56 b8,True,35852,94.2705825710159,338.2646484375,94.15021665864228,67.53125,,,,,,2026-05-18T20:03:58+00:00,2026-05-18T20:04:18.756204+00:00,p4
f64_b2,64,2,patch f64 b2,True,13964,93.69282619162252,127.6181640625,93.40394800192584,25.484375,,,,,,2026-05-18T19:58:28+00:00,2026-05-18T19:58:42.706174+00:00,p1
f64_b3,64,3,s depth=3,True,19148,93.52431391429948,169.177734375,93.59653346172364,34.5234375,93.9817043813192,34.984375,,,,2026-05-17T09:50:53+00:00,2026-05-17T09:53:50.555534+00:00,"orig,p3"
f64_b4,64,4,s depth=4,True,24332,93.47616754935002,210.0576171875,93.21136254212809,43.5625,93.9817043813192,44.2109375,,,,2026-05-17T09:57:46+00:00,2026-05-17T10:04:15.420654+00:00,"orig,p3"
f64_b5,64,5,s depth=5,True,29516,95.08907077515649,250.6171875,94.8001925854598,52.6015625,94.7038998555609,53.4375,,,,2026-05-17T10:11:49+00:00,2026-05-17T10:18:17.204889+00:00,"orig,p3"
f64_b6,64,6,"small, aligned",True,34700,94.9205584978334,291.8642578125,94.89648531535867,61.640625,94.46316803081368,62.8828125,94.46316803081368,62.8828125,qat,2026-05-17T12:29:10+00:00,2026-05-17T12:29:29.436959+00:00,"orig,p1,p3,p4"
f64_b7,64,7,s deep,True,39884,95.35387578237842,333.384765625,95.1131439576312,70.6796875,95.0168512277323,71.890625,,,,2026-05-17T09:53:35+00:00,2026-05-17T09:57:31.473181+00:00,"orig,p4"
f64_b8,64,8,s very deep,True,45068,95.35387578237842,374.2646484375,95.04092441020704,79.71875,95.35387578237842,81.1171875,,,,2026-05-17T10:01:34+00:00,2026-05-17T10:05:50.204525+00:00,"orig,p4"
f72_b2,72,2,patch f72 b2,True,16860,93.11506981222918,138.9306640625,92.7298988926336,29.25,,,,,,2026-05-18T19:59:15+00:00,2026-05-18T19:59:29.479087+00:00,p3
f72_b3,72,3,patch f72 b3,True,23268,94.67982667308618,185.271484375,94.55946076071255,39.859375,,,,,,2026-05-18T20:02:29+00:00,2026-05-18T20:02:44.347470+00:00,p1
f72_b4,72,4,ss-mid depth=4,True,29676,94.8001925854598,230.9326171875,94.67982667308618,50.46875,94.89648531535867,51.1171875,,,,2026-05-17T11:09:05+00:00,2026-05-17T11:13:00.225768+00:00,"orig,p1"
f72_b5,72,5,ss-mid depth=5,True,36084,94.77611940298507,276.2734375,94.72797303803564,61.078125,94.94463168030812,61.9140625,,,,2026-05-17T11:17:22+00:00,2026-05-17T11:21:29.116566+00:00,"orig,p1"
f72_b6,72,6,ss-mid depth=6,True,42492,95.06499759268176,322.3017578125,94.67982667308618,71.6875,95.1131439576312,72.7109375,,,,2026-05-17T11:26:07+00:00,2026-05-17T11:30:36.773586+00:00,"orig,p1"
f72_b7,72,7,patch f72 b7,True,48900,95.13721714010592,368.603515625,95.16129032258064,82.296875,,,,,,2026-05-18T20:07:06+00:00,2026-05-18T20:07:26.520394+00:00,p1
f72_b8,72,8,patch f72 b8,True,55308,95.71497351949928,414.2646484375,95.59460760712564,92.90625,,,,,,2026-05-18T20:08:18+00:00,2026-05-18T20:08:39.310436+00:00,p2
f80_b2,80,2,patch f80 b2,True,20012,94.07799711121812,151.2431640625,93.95763119884448,33.265625,,,,,,2026-05-18T20:07:57+00:00,2026-05-18T20:08:11.240238+00:00,p4
f80_b3,80,3,patch f80 b3,True,27772,94.63168030813674,202.865234375,94.43909484833895,45.5703125,,,,,,2026-05-18T20:11:10+00:00,2026-05-18T20:11:27.206879+00:00,p1
f80_b4,80,4,s-mid depth=4,True,35532,95.04092441020704,253.8076171875,94.99277804525758,57.875,95.04092441020704,58.5234375,,,,2026-05-17T10:25:48+00:00,2026-05-17T10:31:22.020372+00:00,"orig,p3"
f80_b5,80,5,s-mid depth=5,True,43292,95.04092441020704,304.4296875,95.08907077515649,70.1796875,95.16129032258064,71.015625,,,,2026-05-17T10:38:36+00:00,2026-05-17T10:44:52.388640+00:00,"orig,p3"
f80_b6,80,6,s-mid depth=6,True,51052,95.20943668753009,355.7392578125,95.45016851227732,82.484375,95.13721714010592,83.5078125,,,,2026-05-17T10:53:11+00:00,2026-05-17T11:00:41.003137+00:00,"orig,p3"
f80_b7,80,7,patch f80 b7,True,58812,95.23350987000482,407.322265625,95.1131439576312,94.7890625,,,,,,2026-05-18T20:03:49+00:00,2026-05-18T20:04:08.948614+00:00,p3
f80_b8,80,8,patch f80 b8,True,66572,95.8353394318729,458.2646484375,95.57053442465094,107.09375,,,,,,2026-05-18T20:12:59+00:00,2026-05-18T20:13:19.156834+00:00,p2
f88_b2,88,2,patch f88 b2,True,23420,94.31872893596534,164.5556640625,94.2946557534906,37.53125,,,,,,2026-05-18T20:07:45+00:00,2026-05-18T20:07:59.890358+00:00,p3
f88_b3,88,3,patch f88 b3,True,32660,94.99277804525758,221.958984375,95.0168512277323,51.65625,,,,,,2026-05-18T20:11:47+00:00,2026-05-18T20:12:02.687764+00:00,p3
f88_b4,88,4,mmid depth=4,True,41900,94.99277804525758,278.6826171875,94.77611940298507,65.78125,94.89648531535867,66.4296875,,,,2026-05-17T11:35:22+00:00,2026-05-17T11:39:08.512120+00:00,"orig,p1"
f88_b5,88,5,mmid depth=5,True,51140,95.49831487722676,335.0859375,95.18536350505536,79.90625,94.99277804525758,80.7421875,,,,2026-05-17T11:43:37+00:00,2026-05-17T11:47:56.165293+00:00,"orig,p1"
f88_b6,88,6,mmid depth=6,True,60380,95.66682715454982,392.1767578125,95.66682715454982,94.03125,95.59460760712564,95.0546875,,,,2026-05-17T11:52:36+00:00,2026-05-17T11:57:11.041839+00:00,"orig,p1"
f88_b7,88,7,patch f88 b7,True,69620,95.57053442465094,449.541015625,95.35387578237842,108.15625,,,,,,2026-05-18T20:16:20+00:00,2026-05-18T20:16:41.383221+00:00,p3
f88_b8,88,8,patch f88 b8,True,78860,95.32980259990372,506.2646484375,95.52238805970148,122.28125,,,,,,2026-05-18T20:16:28+00:00,2026-05-18T20:16:48.423531+00:00,p1
f96_b2,96,2,patch f96 b2,True,27084,94.36687530091476,178.8681640625,94.19836302359172,42.046875,,,,,,2026-05-18T20:16:47+00:00,2026-05-18T20:17:01.810442+00:00,p2
f96_b3,96,3,mid depth=3,True,37932,95.0168512277323,242.552734375,94.87241213288397,58.1171875,94.63168030813674,58.578125,,,,2026-05-17T11:07:41+00:00,2026-05-17T11:12:34.126884+00:00,"orig,p3"
